S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code
812,221833,2,PARIYARAM,പരിയാരം,3,Village Panchayat,6388
813,221671,1,PARLI,പറളി,3,Village Panchayat,6364
814,221678,1,PARUDUR,പരുതൂര്‍,3,Village Panchayat,6365
815,221345,1,PATHANAPURAM,പത്തനാപുരം,3,Village Panchayat,6315
816,221021,1,PATHIYOOR,പത്തിയൂര്‍,3,Village Panchayat,6268
817,221027,4,PATTANAKKAD,പട്ടണക്കാട്,3,Village Panchayat,6269
818,221346,1,PATTAZHI,പട്ടാഴി,3,Village Panchayat,6315
819,221347,1,PATTAZHI VADAKKEKARA,പട്ടാഴി വടക്കേക്കര,3,Village Panchayat,6315
820,221621,1,PATTENCHERRY,പട്ടഞ്ചേരി,3,Village Panchayat,6358
821,221213,2,PATTIAM,പാട്യം,3,Village Panchayat,6298
822,221694,1,PATTITHARA,പട്ടാമ്പി,3,Village Panchayat,6367
823,221246,1,PATTUVAM,പട്ടുവം,3,Village Panchayat,6301
824,221874,2,PAVARATTY,പാവറട്ടി,3,Village Panchayat,6396
825,221360,2,PAVITHRESWARAM,പവിത്രേശ്വരം,3,Village Panchayat,6317
826,221200,2,PAYAM,പായം,3,Village Panchayat,6296
827,221192,1,PAYYAVOOR,പയ്യാവൂര്‍,3,Village Panchayat,6295
828,221773,1,PAZHAYAKUNNUMMEL,പഴയകുന്നുമ്മേല്‍,3,Village Panchayat,6379
829,221884,3,PAZHAYANNUR,പഴയന്നൂര്‍,3,Village Panchayat,6398
830,221133,3,PEERUMEDU,പീരുമേട്,3,Village Panchayat,6287
831,221184,2,PERALASSERI,പെരളശ്ശേരി,3,Village Panchayat,6294
832,221494,1,PERAMBRA,പേരാമ്പ്ര,3,Village Panchayat,6337
833,221234,2,PERAVOOR,"പേരാവൂര്&zwj,",3,Village Panchayat,6300
834,221321,1,PERAYAM,പേരയം,3,Village Panchayat,6310
835,221322,3,PERINAD,പെരിനാട്,3,Village Panchayat,6310
836,221806,3,PERINGAMALA,പെരിങ്ങമ്മല,3,Village Panchayat,6384
837,221741,1,PERINGARA,പെരിങ്ങര,3,Village Panchayat,6374
838,221226,2,PERINGOME -VAYAKKARA,പെരിങ്ങോം വയക്കര,3,Village Panchayat,6299
839,221634,1,PERINGOTTUKURISSI,പെരിങ്ങോട്ടുകുറിശ്ശി,3,Village Panchayat,6359
840,221870,1,PERINJANAM,പെരിഞ്ഞനം,3,Village Panchayat,6395
841,221469,1,PERUMANNA,പെരുമണ്ണ,3,Village Panchayat,6333
842,239031,1,PERUMANNAKLARI,പെരുമണ്ണ ക്ലാരി,3,Village Panchayat,6350
843,221622,1,PERUMATTY,പെരുമാട്ടി,3,Village Panchayat,6357
844,221033,1,PERUMBALAM,പെരുമ്പളം,3,Village Panchayat,6270
845,221799,3,PERUMKADAVILA,പെരുങ്കടവിള,3,Village Panchayat,6383
846,221564,1,PERUMPADAPPA,പെരുമ്പടപ്പ,3,Village Panchayat,6348
847,221586,1,PERUVALLUR,പെരുവള്ളൂര്‍,3,Village Panchayat,6352
848,221134,2,PERUVANTHANAM,പെരുവന്താനം,3,Village Panchayat,6287
849,221470,1,PERUVAYAL,പെരുവയല്‍,3,Village Panchayat,6333
850,221640,1,PERUVEMBA,പെരുവെമ്പ,3,Village Panchayat,6358
851,221291,1,PILICODE,പിലിക്കോട്,3,Village Panchayat,6306
852,221256,2,PINARAYI,പിണറായി,3,Village Panchayat,6302
853,221069,2,PINDIMANA,പിണ്ടിമന,3,Village Panchayat,6276
854,221348,1,PIRAVANTHUR,പിറവന്തൂര്‍,3,Village Panchayat,6315
855,221672,1,PIRAYARI,പിരായിരി,3,Village Panchayat,6364
856,221641,1,POLPULLY,പൊല്‍പ്പുള്ളി,3,Village Panchayat,6357
857,221532,2,PONMALA,പൊന്‍മള,3,Village Panchayat,6344
858,221573,1,PONMUNDAM,പൊന്മുണ്ടം,3,Village Panchayat,6350
859,221686,2,POOKKOTTUKAVU,പൂക്കോട്ടുകാവ്,3,Village Panchayat,6366
860,221533,2,POOKKOTTUR,പൂക്കോട്ടൂര്‍,3,Village Panchayat,6344
861,221899,3,POOMANGALAM,പൂമംഗലം,3,Village Panchayat,6401
862,221366,2,POONJAR,പൂഞ്ഞാര്‍,3,Village Panchayat,6318
863,221367,1,POONJAR THEKKEKARA,പൂഞ്ഞാര്‍ തെക്കേക്കര,3,Village Panchayat,6318
864,221934,3,POOTHADI,പൂതാടി,3,Village Panchayat,6882
865,221327,3,POOTHAKKULAM,പൂതക്കുളം,3,Village Panchayat,6311
866,221108,1,POOTHRIKKA,പൂത്തൃക്ക,3,Village Panchayat,6283
867,221819,4,POOVACHAL,"പൂവച്ചല്&zwj,",3,Village Panchayat,6386
868,221791,3,POOVAR,"പൂവ്വാര്&zwj,",3,Village Panchayat,6382
869,221335,1,POOYAPPALLY,പൂയപ്പള്ളി,3,Village Panchayat,6312
870,221848,3,PORKULAM,"പോര്&zwj,ക്കുളം",3,Village Panchayat,6391
871,221601,1,PORUR,പോരൂര്‍,3,Village Panchayat,6354
872,221352,1,PORUVAZHY,പോരുവഴി,3,Village Panchayat,6316
873,221070,2,POTHANIKKAD,പോത്താനിക്കാട്,3,Village Panchayat,6276
874,221766,3,POTHENCODE,പോത്തന്‍കോട്,3,Village Panchayat,6378
875,221552,2,POTHUKKAL,പോത്തുകല്ല്,3,Village Panchayat,6346
876,221866,1,POYYA,പൊയ്യ,3,Village Panchayat,6394
877,221918,1,POZHUTHANA,പൊഴുതന,3,Village Panchayat,6403
